CPU,Cores,CPU BenchMark,Single-Thread BenchMark,TDP (W),Socket,Category
AMD A4-6300 APU,1,1426,1403,65,FM2,Desktop
AMD A4-6300B APU,1,1328,1373,65,Unknown,Desktop
AMD A4-6320 APU,1,1530,1529,65,FM2,Desktop
AMD A4-7210 APU,4,1656,725,25,BGA,Laptop
AMD A4-7300 APU,1,1529,1477,65,FM2,Desktop
AMD A4-9120,2,1218,1043,15,BGA,Laptop
AMD A4-9120C,2,852,891,6,FT4,Laptop
AMD A4-9120e,2,851,744,NA,FT4,Laptop
AMD A4-9125,2,1211,1042,15,BGA (FT4),Laptop
AMD A6 Micro-6500T APU,4,1146,630,NA,Unknown,Laptop
AMD A6 PRO-7050B APU,2,1009,875,17,FP3,Laptop
AMD A6 PRO-7400B,1,1696,1505,65,FM2+,Desktop
AMD A6-1450 APU,4,1072,460,8,FT3,Laptop
AMD A6-3400M APU,4,1191,691,35,FS1,Laptop
AMD A6-3410MX APU,4,1263,732,45,FS1,Laptop
AMD A6-3420M APU,4,1294,773,35,FS1,Laptop
AMD A6-3430MX APU,4,1448,822,45,FS1,Laptop
AMD A6-3500 APU,3,1420,963,65,FM1,Desktop
AMD A6-3600 APU,4,1697,909,65,FM1,Desktop
AMD A6-3620 APU,4,1848,979,65,FM1,Desktop
AMD A6-3650 APU,4,2070,1038,100,FM1,Desktop
AMD A6-3670 APU,4,2171,1144,100,FM1,Desktop
AMD A6-4400M APU,1,1010,1027,35,FS1r2,Laptop
AMD A6-4455M APU,1,793,786,17,FP2,Laptop
AMD A6-5200 APU,4,1665,664,25,FT3,Laptop
AMD A6-5345M APU,2,1122,1094,17,FP2,Laptop
AMD A6-5350M APU,2,1221,1226,35,FS1r2,Laptop
AMD A6-5357M APU,2,1165,1243,35,FP2,Laptop
AMD A6-5400B APU,1,1459,1408,65,FM2,Desktop
AMD A6-5400K APU,1,1275,1269,65,FM2,Desktop
AMD A6-6310 APU,4,1676,742,15,FT3,Laptop
AMD A6-6400B APU,1,1616,1608,65,FM2,Desktop
AMD A6-6400K APU,1,1504,1444,65,FM2,Desktop
AMD A6-6420B APU,1,1550,1629,65,FM2,Desktop
AMD A6-6420K APU,2,1576,1553,65,FM2,Desktop
AMD A6-7000,2,1010,857,17,FP3,Laptop
AMD A6-7310 APU,4,1724,775,25,Unknown,Laptop
AMD A6-7400K APU,2,1631,1438,65,FM2+,Desktop
AMD A6-7470K,1,1799,1576,65,FM2+,Desktop
AMD A6-7480,2,1836,1558,65,FM2+,Desktop
AMD A6-8500P,2,1445,1253,15,BGA (FP4),Laptop
AMD A6-8550,2,1604,1474,65,FM2+,Desktop
AMD A6-9200,2,1116,970,10,BGA,Laptop
AMD A6-9210,2,1230,1076,15,FP4,Laptop
AMD A6-9220,2,1280,1135,15,Unknown,Laptop
AMD A6-9220C,2,1053,995,6,FT4,Laptop
AMD A6-9220e,2,977,863,NA,Unknown,Laptop
AMD A6-9225,2,1331,1159,15,BGA (FT4),Laptop
AMD A6-9230,2,1303,1124,15,Unknown,Desktop
AMD A6-9400,2,2717,1664,10,FT4,Laptop
AMD A6-9500,2,1869,1624,65,AM4,Desktop
AMD A6-9500E,2,1756,1347,35,AM4,Desktop
AMD A8 PRO-7150B APU,4,1528,763,19,FP3,Laptop
AMD A8 PRO-7600B APU,4,2960,1389,65,FM2+,Desktop
AMD A8-3500M APU,4,1400,813,35,FS1,Laptop
AMD A8-3510MX APU,4,1631,898,45,FS1,Laptop
AMD A8-3520M APU,4,1448,845,35,FS1,Laptop
AMD A8-3530MX APU,4,1608,938,45,FS1,Laptop
AMD A8-3550MX APU,4,1687,962,45,FS1,Laptop
AMD A8-3800 APU,4,2049,1068,65,FM1,Desktop
AMD A8-3820 APU,4,2174,1131,65,FM1,Desktop
AMD A8-3850 APU,4,2374,1214,100,FM1,Desktop
AMD A8-3870K APU,4,2325,1210,100,FM1,Desktop
AMD A8-4500M APU,2,1687,920,35,FS1r2,Laptop
AMD A8-4555M APU,2,1331,789,19,FP2,Laptop
AMD A8-5500 APU,2,2609,1333,65,FM2,Desktop
AMD A8-5500B APU,2,2609,1325,65,FM2,Desktop
AMD A8-5545M APU,4,1567,832,19,FP2,Laptop
AMD A8-5550M APU,4,1862,1036,35,FS1r2,Laptop
AMD A8-5557M APU,4,1801,1037,35,FP2,Laptop
AMD A8-5600K APU,4,2857,1430,100,FM2,Desktop
AMD A8-6410 APU,4,1771,783,15,BGA769 (FT3b),Laptop
AMD A8-6500 APU,2,2823,1473,65,FM2,Desktop
AMD A8-6500B APU,2,2886,1506,65,FM2,Desktop
AMD A8-6500T APU,2,1929,1111,45,FM2,Desktop
AMD A8-6600K APU,2,3007,1538,100,FM2,Desktop
AMD A8-7050,2,1152,945,15,Unknown,Laptop
AMD A8-7100 APU,4,1638,840,19,FP3,Laptop
AMD A8-7200P,4,2154,1054,35,FP3,Laptop
AMD A8-7410 APU,4,1815,804,25,Unknown,Laptop
AMD A8-7500,2,3422,1410,65,FM2+,Desktop
AMD A8-7600 APU,2,3218,1448,65,FM2+,Desktop
AMD A8-7650K,2,3123,1404,65,FM2+,Desktop
AMD A8-7670K,4,3192,1485,95,FM2+,Desktop
AMD A8-7680,4,3544,1619,45,FM2+,Laptop
AMD A8-7690K,4,2157,1441,95,FM2+,Desktop
AMD A8-8600P,2,2240,1103,15,FP4,Laptop
AMD A8-8650,4,2996,1483,65,FM2+,Desktop
AMD A8-9600,4,3308,1488,65,AM4,Desktop
AMD A9-9400,2,1329,1195,10,FP4,Laptop
AMD A9-9410,2,1522,1330,25,FP4,Laptop
AMD A9-9420,2,1498,1296,15,Unknown,Laptop
AMD A9-9420e,2,1107,962,NA,Unknown,Laptop
AMD A9-9425,2,1512,1319,15,BGA (FT4),Laptop
AMD A9-9430,2,1678,1441,NA,Unknown,Desktop
AMD A9-9820,8,3938,800,NA,Unknown,Desktop
AMD Athlon 1500+,1,191,275,NA,Unknown,Desktop
AMD Athlon 1640B,1,412,462,45,AM2,Desktop
AMD Athlon 200GE,2,4114,1799,35,AM4,Desktop
AMD Athlon 220GE,2,4424,1959,35,AM4,Laptop
AMD Athlon 240GE,2,4527,1963,35,AM4,Desktop
AMD Athlon 2650e,1,274,304,15,AM2,Desktop
AMD Athlon 2800+,1,291,439,89,754,Desktop
AMD Athlon 2850e,1,333,337,22,AM2,Desktop
AMD Athlon 3000G,2,4484,1984,35,AM4,Desktop
AMD Athlon 300GE,2,4273,1869,35,AM4,Desktop
AMD Athlon 300U,2,3867,1774,15,FP5,Laptop
AMD Athlon 320GE,2,4399,1929,35,AM4,Desktop
AMD Athlon 5000 Dual-Core,2,872,898,65,"AM2,AM2+",Desktop
AMD Athlon 5150 APU,4,1388,545,25,"AM1,FS1b",Desktop
AMD Athlon 5200 Dual-Core,2,869,915,75,AM2,Desktop
AMD Athlon 5350 APU,4,1783,699,25,"AM1,FS1B",Desktop
AMD Athlon 5370 APU,4,1905,757,25,"AM1,FS1B",Desktop
AMD Athlon 64 2000+,1,154,173,8,Unknown,Desktop
AMD Athlon 64 2600+,1,243,292,15,Unknown,Desktop
AMD Athlon 64 2800+,1,295,375,89,754,Desktop
AMD Athlon 64 3000+,1,334,615,89,Socket 754,Desktop
AMD Athlon 64 3100+,1,484,600,89,754,Desktop
AMD Athlon 64 3200+,1,305,621,62,AM2,Desktop
AMD Athlon 64 3300+,1,375,477,NA,Unknown,Desktop
AMD Athlon 64 3400+,1,317,547,89,754,Desktop
AMD Athlon 64 3500+,1,377,576,45,AM2,Desktop
AMD Athlon 64 3700+,1,394,435,89,939,Desktop
AMD Athlon 64 3800+,1,292,461,45,AM2,Desktop
AMD Athlon 64 4000+,1,340,565,62,AM2,Desktop
AMD Athlon 64 FX-55,1,404,505,104,939,Desktop
AMD Athlon 64 FX-57,1,517,552,104,939,Desktop
AMD Athlon 64 FX-59,1,465,575,NA,939,Desktop
AMD Athlon 64 FX-60 Dual Core,2,709,912,110,939,Desktop
AMD Athlon 64 FX-62 Dual Core,2,993,1022,125,AM2,Desktop
AMD Athlon 64 FX-74,2,972,617,125,F (1207),Desktop
AMD Athlon 64 X2 3800+,2,566,745,89,939,Desktop
AMD Athlon 64 X2 Dual Core 3400+,2,531,505,89,754,Desktop
AMD Athlon 64 X2 Dual Core 3600+,2,633,666,65,AM2,Desktop
AMD Athlon 64 X2 Dual Core 3800+,2,629,718,89,AM2,Desktop
AMD Athlon 64 X2 Dual Core 4000+,2,692,737,65,AM2,Desktop
AMD Athlon 64 X2 Dual Core 4200+,2,731,803,89,AM2,Desktop
AMD Athlon 64 X2 Dual Core 4400+,2,675,764,65,AM2,Desktop
AMD Athlon 64 X2 Dual Core 4600+,2,720,835,65,AM2,Desktop
AMD Athlon 64 X2 Dual Core 4800+,2,679,876,65,AM2,Desktop
AMD Athlon 64 X2 Dual Core 5000+,2,786,898,65,AM2,Desktop
AMD Athlon 64 X2 Dual Core 5200+,2,851,935,65,AM2,Desktop
AMD Athlon 64 X2 Dual Core 5400+,2,907,999,65,AM2,Desktop
AMD Athlon 64 X2 Dual Core 5600+,2,907,1024,89,AM2,Desktop
AMD Athlon 64 X2 Dual Core 5800+,2,653,746,89,Unknown,Desktop
AMD Athlon 64 X2 Dual Core 6000+,2,939,1038,89,AM2,Desktop
AMD Athlon 64 X2 Dual Core 6400+,2,998,1141,125,AM2,Desktop
AMD Athlon 64 X2 Dual Core BE-2300,2,594,624,45,AM2,Desktop
AMD Athlon 64 X2 Dual Core BE-2350,2,573,674,45,AM2,Desktop
AMD Athlon 64 X2 Dual-Core TK-42,2,577,537,20,Unknown,Desktop
AMD Athlon 64 X2 Dual-Core TK-53,2,558,602,31,Unknown,Desktop
AMD Athlon 64 X2 Dual-Core TK-55,2,518,609,35,Unknown,Desktop
AMD Athlon 64 X2 Dual-Core TK-57,2,620,626,31,Unknown,Desktop
AMD Athlon 64 X2 QL-60,2,652,654,35,S1,Laptop
AMD Athlon 64 X2 QL-62,2,525,623,35,S1,Laptop
AMD Athlon 64 X2 QL-64,2,624,731,35,S1,Laptop
AMD Athlon 64 X2 QL-65,2,637,681,35,S1,Laptop
AMD Athlon 64 X2 QL-66,2,641,751,35,S1,Laptop
AMD Athlon 64 X2 QL-67,2,582,515,35,S1,Laptop
AMD Athlon 7450 Dual-Core,2,789,853,95,AM2+,Desktop
AMD Athlon 7550 Dual-Core,2,900,934,95,AM2+,Desktop
AMD Athlon 7750 Dual-Core,2,987,1043,95,AM2+,Desktop
AMD Athlon 7850 Dual-Core,2,1058,1118,95,AM2+,Desktop
AMD Athlon Dual Core 4050e,2,674,751,45,AM2,Desktop
AMD Athlon Dual Core 4450B,2,711,792,45,AM2+,Desktop
AMD Athlon Dual Core 4450e,2,705,801,45,AM2,Desktop
AMD Athlon Dual Core 4850B,2,727,887,45,AM2+,Desktop
AMD Athlon Dual Core 4850e,2,783,903,45,AM2,Desktop
AMD Athlon Dual Core 5000B,2,856,942,65,AM2,Desktop
AMD Athlon Dual Core 5050e,2,846,917,45,AM2,Desktop
AMD Athlon Dual Core 5200B,2,823,966,65,AM2,Desktop
AMD Athlon Dual Core 5400B,2,914,985,65,AM2,Desktop
AMD Athlon Dual Core 5600B,2,737,1003,65,AM2+,Desktop
AMD Athlon Gold 3150C,2,3292,1706,15,FP5,"Laptop, Mobile/Embedded"
AMD Athlon Gold 3150G,4,7112,2265,65,AM4,Desktop
AMD Athlon Gold 3150U,2,3986,1760,15,FP5,Laptop
AMD Athlon Gold 7220U,2,4740,2094,15,FP6,Laptop
AMD Athlon Gold PRO 3150G,4,7702,2321,65,AM4,Desktop
AMD Athlon Gold PRO 3150GE,4,7006,2165,35,AM4,Desktop
AMD Athlon Gold PRO 4150GE,4,8259,2384,35,FP6,Laptop
AMD Athlon II 160u,1,358,717,20,Unknown,Desktop
AMD Athlon II 170u,1,355,731,20,"AM2+,AM3",Desktop
AMD Athlon II Dual-Core M300,2,670,776,35,Unknown,Laptop
AMD Athlon II Dual-Core M320,2,749,855,35,Unknown,Laptop
AMD Athlon II Dual-Core M340,2,807,858,35,Unknown,Laptop
AMD Athlon II N330 Dual-Core,2,665,813,35,Unknown,Laptop
AMD Athlon II N350 Dual-Core,2,767,945,35,Unknown,Laptop
AMD Athlon II N370 Dual-Core,2,899,913,35,S1g4,Laptop
AMD Athlon II Neo K125,1,315,616,12,S1,Laptop
AMD Athlon II Neo K145,1,298,592,12,S1,Laptop
AMD Athlon II Neo K325 Dual-Core,2,417,486,12,Unknown,Laptop
AMD Athlon II Neo K345 Dual-Core,2,527,552,12,Unknown,Laptop
AMD Athlon II Neo N36L Dual-Core,2,487,524,12,Unknown,Laptop
AMD Athlon II P320 Dual-Core,2,705,821,25,Unknown,Laptop
AMD Athlon II P340 Dual-Core,2,704,843,25,S1g4,Laptop
AMD Athlon II P360 Dual-Core,2,730,861,25,S1g4,Laptop
AMD Athlon II X2 210e,2,1105,1105,45,AM3,Desktop
AMD Athlon II X2 215,2,973,1023,65,AM3,Desktop
AMD Athlon II X2 220,2,1045,1092,65,AM3,Desktop
AMD Athlon II X2 235e,2,1079,1098,45,AM3,Desktop
AMD Athlon II X2 240,2,1039,1079,65,AM3,Desktop
AMD Athlon II X2 240e,2,987,1091,45,AM3,Desktop
AMD Athlon II X2 245,2,1110,1150,65,AM2+/AM3,Desktop
AMD Athlon II X2 245e,2,1171,1182,45,AM3,Desktop
AMD Athlon II X2 250,2,1160,1197,65,AM3,Desktop
AMD Athlon II X2 250e,2,1155,1201,45,AM3,Desktop
AMD Athlon II X2 250u,2,598,637,25,AM3,Desktop
AMD Athlon II X2 255,2,1175,1234,65,AM3,Desktop
AMD Athlon II X2 260,2,1178,1256,65,AM3,Desktop
AMD Athlon II X2 260u,2,713,716,25,AM3,Desktop
AMD Athlon II X2 265,2,1267,1336,65,AM3,Desktop
AMD Athlon II X2 270,2,1301,1360,65,AM3,Desktop
AMD Athlon II X2 270u,2,675,791,25,AM3,Desktop
AMD Athlon II X2 280,2,1355,1462,65,AM3,Desktop
AMD Athlon II X2 4300e,2,990,1074,13,Unknown,Desktop
AMD Athlon II X2 4400e,2,944,1063,37,Unknown,Desktop
AMD Athlon II X2 4450e,2,867,1066,45,AM2,Desktop
AMD Athlon II X2 B22,2,1053,1129,65,AM3,Desktop
AMD Athlon II X2 B24,2,1120,1206,65,AM3,Desktop
AMD Athlon II X2 B26,2,1206,1266,65,Unknown,Unknown
AMD Athlon II X2 B28,2,1269,1350,65,AM3,Desktop
AMD Athlon II X3 400e,3,1320,908,45,AM3,Desktop
AMD Athlon II X3 405e,3,1331,973,45,AM3,Desktop
AMD Athlon II X3 415e,3,1441,1028,45,AM3,Desktop
AMD Athlon II X3 420e,3,1557,1058,45,AM3,Desktop
AMD Athlon II X3 425,3,1576,1084,95,AM3,Desktop
AMD Athlon II X3 435,3,1630,1166,95,AM3,Desktop
AMD Athlon II X3 440,3,1712,1194,95,AM3,Desktop
AMD Athlon II X3 445,3,1823,1274,95,AM3,Desktop
AMD Athlon II X3 450,3,1847,1301,95,AM3,Desktop
AMD Athlon II X3 455,3,1879,1332,95,AM3,Desktop
AMD Athlon II X3 460,3,2008,1395,95,AM3,Desktop
AMD Athlon II X4 553,4,2418,1204,NA,Unknown,Desktop
AMD Athlon II X4 555,4,2526,1244,NA,Unknown,Desktop
AMD Athlon II X4 557,4,2567,1345,160,AM3,Desktop
AMD Athlon II X4 559,4,2602,1399,NA,Unknown,Desktop
AMD Athlon II X4 600e,4,1795,913,45,AM3,Desktop
AMD Athlon II X4 605e,4,1997,1009,45,AM3,Desktop
AMD Athlon II X4 610e,4,1964,1037,45,AM3,Desktop
AMD Athlon II X4 615e,4,2000,1037,45,AM3,Desktop
AMD Athlon II X4 620,4,2018,1062,95,AM3,Desktop
AMD Athlon II X4 630,4,2153,1129,95,AM3,Desktop
AMD Athlon II X4 631 Quad-Core,4,2122,1115,100,FM1,Desktop
AMD Athlon II X4 635,4,2237,1168,95,AM3,Desktop
AMD Athlon II X4 638 Quad-Core,4,2250,1163,65,FM1,Desktop
AMD Athlon II X4 640,4,2245,1212,95,AM3,Desktop
AMD Athlon II X4 641 Quad-Core,4,2313,1189,100,FM1,Desktop
AMD Athlon II X4 645,4,2348,1256,95,AM3,Desktop
AMD Athlon II X4 650,4,2426,1305,95,Unknown,Desktop
AMD Athlon II X4 651 Quad-Core,4,2500,1287,100,FM1,Desktop
AMD Athlon II X4 655,4,2078,1473,95,AM2+ (940-pin),Desktop
AMD Athlon L110,1,197,223,13,Unknown,Unknown
AMD Athlon LE-1600,1,412,430,45,AM2,Desktop
AMD Athlon LE-1620,1,421,475,45,AM2,Desktop
AMD Athlon LE-1640,1,430,489,45,AM2,Desktop
AMD Athlon LE-1660,1,416,428,45,AM2,Desktop
AMD Athlon Neo MV-40,1,275,485,15,Unknown,Unknown
AMD Athlon Neo X2 Dual Core 6850e,2,456,566,22,Unknown,Unknown
AMD Athlon Neo X2 Dual Core L325,2,556,567,18,Unknown,Unknown
AMD Athlon Neo X2 Dual Core L335,2,529,570,18,Unknown,Unknown
AMD Athlon PRO 200GE,2,3693,1736,35,AM4,Desktop
AMD Athlon PRO 300GE,2,4308,1911,35,AM4,Desktop
AMD Athlon PRO 300U,2,4080,1931,15,FP5,Laptop
AMD Athlon PRO 3045B,2,2618,1493,15,FP5,Laptop
AMD Athlon Silver 3050C,2,2879,1809,15,FP5,Laptop
AMD Athlon Silver 3050e,2,2939,1447,6,Unknown,Laptop
AMD Athlon Silver 3050GE,2,4545,2016,35,AM4,Laptop
AMD Athlon Silver 3050U,2,2992,1702,15,FP5,Laptop
AMD Athlon Silver 7120U,2,3161,1950,15,FP6,Laptop
AMD Athlon Silver PRO 3125GE,2,4633,2074,35,AM4,Desktop
AMD Athlon TF-20,1,265,454,15,Unknown,Unknown
AMD Athlon TF-36,1,338,349,25,Unknown,Unknown
AMD Athlon X2 215,2,996,1107,65,Unknown,Unknown
AMD Athlon X2 240,2,921,1017,65,Unknown,Unknown
AMD Athlon X2 240e,2,1015,1092,45,Unknown,Unknown
AMD Athlon X2 250,2,855,1099,65,Unknown,Unknown
AMD Athlon X2 255,2,938,1095,65,AM2+/AM3,Unknown
AMD Athlon X2 280,2,1327,1258,65,AM3,Unknown
AMD Athlon X2 340 Dual Core,2,1307,1296,65,FM2,Desktop
AMD Athlon X2 370K Dual Core,1,1504,1514,65,Unknown,Unknown
AMD Athlon X2 450,2,1295,878,65,FM2+,Desktop
AMD Athlon X2 Dual Core 3250e,2,357,458,22,Unknown,Unknown
AMD Athlon X2 Dual Core 6850e,2,564,623,22,Unknown,Unknown
AMD Athlon X2 Dual Core BE-2300,2,570,644,45,AM2,Desktop
AMD Athlon X2 Dual Core BE-2350,2,591,705,45,AM2,Desktop
AMD Athlon X2 Dual Core BE-2400,2,674,749,18,FT1,Desktop
AMD Athlon X2 Dual Core L310,2,329,395,13,S1,Laptop
AMD Athlon X3 425,3,1516,845,95,Unknown,Unknown
AMD Athlon X3 435,3,1781,1192,95,Unknown,Unknown
AMD Athlon X3 440,3,1438,1129,95,Unknown,Unknown
AMD Athlon X3 445,3,1626,1270,95,Unknown,Unknown
AMD Athlon X3 455,3,1783,1227,95,AM2+/AM3,Unknown
AMD Athlon X4 530,4,1786,690,25,AM1,Desktop
AMD Athlon X4 620,4,1810,1033,95,Unknown,Unknown
AMD Athlon X4 640,4,2115,1224,95,Unknown,Unknown
AMD Athlon X4 730,2,2278,937,65,FM2,Desktop
AMD Athlon X4 740 Quad Core,2,2626,1355,65,FM2,Desktop
AMD Athlon X4 750 Quad Core,4,2625,1497,65,FM2,Desktop
AMD Athlon X4 750K Quad Core,2,2861,1465,100,FM2,Unknown
AMD Athlon X4 760K Quad Core,2,2971,1533,100,FM2,Desktop
AMD Athlon X4 830,2,2901,1292,65,FM2+,Desktop
AMD Athlon X4 840,2,3325,1487,65,FM2+,Desktop
AMD Athlon X4 845,2,3796,1680,65,FM2+,Desktop
AMD Athlon X4 850,4,3366,1575,65,FM2+,Unknown
AMD Athlon X4 860K,2,3434,1529,95,FM2+,Desktop
AMD Athlon X4 870K,2,3410,1558,95,FM2+,Desktop
AMD Athlon X4 880K,2,3659,1633,95,FM2+,Desktop
AMD Athlon X4 950,4,3596,1638,65,AM4,Desktop
AMD Athlon X4 970,4,3811,1700,65,AM4,Desktop
AMD Athlon XP 1500+,1,167,251,NA,Unknown,Unknown
AMD Athlon XP 1600+,1,174,265,NA,Unknown,Unknown
AMD Athlon XP 1700+,1,176,272,64,Socket A (462),Desktop
AMD Athlon XP 1800+,1,195,301,66,Socket A,Desktop
AMD Athlon XP 1900+,1,203,312,NA,Unknown,Unknown
AMD Athlon XP 2000+,1,195,311,70,Socket A,Desktop
AMD Athlon XP 2100+,1,210,327,NA,Unknown,Unknown
AMD Athlon XP 2200+,1,214,335,NA,Unknown,Unknown
AMD Athlon XP 2400+,1,234,375,NA,Unknown,Unknown
AMD Athlon XP 2500+,1,231,353,NA,Unknown,Unknown
AMD Athlon XP 2600+,1,242,380,NA,Unknown,Unknown
AMD Athlon XP 2700+,1,256,398,NA,Unknown,Unknown
AMD Athlon XP 2800+,1,260,408,89,754,Unknown
AMD Athlon XP 2900+,1,276,410,NA,Unknown,Unknown
AMD Athlon XP 3000+,1,262,396,62,Socket A,Desktop
AMD Athlon XP 3100+,1,282,431,NA,Unknown,Unknown
AMD Athlon XP 3200+,1,281,430,62,AM2,Unknown
AMD Athlon XP1600+,1,183,272,NA,Unknown,Unknown
AMD Athlon XP2400+,1,243,390,NA,Unknown,Unknown
AMD Athlon64 X2 Dual Core 4600+,2,803,755,110,AM2,Desktop
AMD C-30,1,178,375,9,FT1,Laptop
AMD C-50,2,265,312,9,FT1,Laptop
AMD C-60,2,290,354,9,Unknown,Unknown
AMD C-60 APU,2,316,357,9,Unknown,"Laptop, Mobile/Embedded"
AMD C-70 APU,2,315,364,9,Unknown,"Laptop, Mobile/Embedded"
AMD Custom APU 0932,4,9443,2294,15,Unknown,Mobile/Embedded
AMD E-240,1,195,403,18,FT1,Laptop
AMD E-300 APU,2,339,394,18,FT1,Laptop
AMD E-350,2,421,485,18,FT1,"Desktop, Laptop"
AMD E-350 APU,2,423,490,18,FT1 BGA,"Desktop, Laptop"
AMD E-350D APU,2,486,523,18,Unknown,"Laptop, Mobile/Embedded"
AMD E-450 APU,2,437,499,18,FT1,Laptop
AMD E1 Micro-6200T APU,2,600,498,3.95,FT3b,Laptop
AMD E1-1200 APU,2,380,430,18,FT1,Laptop
AMD E1-1500 APU,2,398,458,18,FT1,Laptop
AMD E1-2100 APU,2,405,322,9,FT3,Laptop
